sentence_a,sentence_b,answer
the cat has your collective tongues.,she had to get her masters.,0
Two NATO soldiers killed in Afghanistan,Five Libyan soldiers killed in Benghazi clashes,0
Stones add second Hyde Park concert,Rolling Stones add second Hyde Park date,5
Italian pilgrims die in bus plunge,Passengers dead in Italy bus plunge,3
"Three bomb attacks kill six soldiers, one civilian",School bomb attack kills two in southern Thailand,0
because mahmoud ahmadinejad is a maniac.,because i think what she suffered was a form of patriarchy.,0
if that is not a self made man i have never heard of one.,that was a stupid question and didn't deserve and answer..,0
"he is the least pc of them all, thus far, and in my opinion.",in the end we are all the same and we return to worm food!,0
he's swimming with the fishes beat me.,i can't help thinking that she's a golddigger.,0
"At a certain time, the answer would have been a quick spanking or at least a swat on the behind.","As @tomjedrz said, they do go from being baby carriers to stuff carriers and are always useful in that regard.",0
There are actually more than 2 methods of teaching a child to sleep through the night.,I think there's too many factors at play to determine the proper age to use cry it out.,0
"Pacifier use too early, or, indeed, any artificial nipple use too early can definitely lead to nipple confusion.",Here are two sites with the results of research on nipple confusion.,1
A possibility is to have a family meeting with the stated goal of working out the reward(s) for chores.,"Many children, instead of being motivated by reward are motivated by being in control.",1
"yeh right, they're so on board with that!",you think they're bluffing about that?,0
william hill have cut the odds on the prime minister leaving this year from 5/1 to 9/4.,ladbrokes have cut the odds on john prescott becoming the next prime minister from 100/1 to 25/1 following a rush of bets.,1
"assholes such as you are utterly unable to admit how bad he is, however, in light of all he has done so terribly.",she has said that the club has helped her with the grieving as she has so many friends there.,0
"i would be more concerned with his short term intentions to be honest,you could spend years listening to excuses and waiting for him to leave.","it would be good to hear the stories, you know - good to get to understand what the world is about.",0
meets dr. king; asks him for a job.,i wasnt trying to make him feel bad.,0
early in our friendship she confessed her marriage was in trouble...i,using your definition - there was no housing bubble.,0
he doesnt seem to realise or maybe he just doesnt care how it makes me feel.,"i havent access to anymore, and to be honest i dont want it.",0
Stocks Little Changed in Early Trading,US Stocks Slip Early Ahead of Earnings Reports,1
Iran 'thwarts nuclear sabotage attempts',Iran says detects sabotage at nuclear facility,2
Jamaican connection in Liverpool's win,Japan Election: Shinzo Abe Hails Landslide Win,0
Court to hear Bo Xilai appeal,Chinese court agrees to Bo Xilai appeal,3
stop getting your info from fox.,i wound up getting an epidural during that one.,0
he added that nato sent a delegation to meet with local leaders and investigate the incident.,"and if we continue to be a nation that allows sex with anyone, any time with anyone.",0
george bush chose a black woman to be his top adviser on national security.,"he married you, chose to have a child with you and loves you unconditionally.",0
"robert, next to that easy emotional comment which seems to ventilate frustration...",three of the seals being rescued were also killed and the fourth wounded.,0
Car Bombs Kill 58 in Iraqi Capital,Car bombings kill 13 civilians in Iraqi capital,0
Foreign companies eye new 'opening-up',More carriers likely in China,0
Ukrainian protesters back in streets for anti-government rally,Ukraine protesters topple Lenin statue in Kiev,1
Chinese shares close higher Tuesday,Chinese shares close lower on Wednesday,1
"you're offended when people use the word ""brew"" to mean beer.","""you're going to see how they work all right.""",0
because they're not shameful liberal media race-baiters.,"because he isn't a leader, he is a perpetual campaigner and chief.",0
is there really monies in this ue ext.,and the race card is coming up next.,0
flint laid off police officers because the union refused to accept any cuts and chose their benefits over avoiding layoffs.,no need for lawyers because the strings are pulled so that they aren't ever charged in the first place.,0
i hear those skills translate real well into a career in government.,"ah well, at least it proves that we don't agree with corporal punishment.",0
thanks i think it can be very easy to focus on what he doesn't do.,many times i can see the faces of the people i helped.,0
let's not go conspiracy here..but,its not going to effect the world one bit.,0
the arab league did not understand that a no fly zone can have different meanings if worded appropriately.,i didn't quite understand why my cousin wasn't like me and he didn't understand it either.,0
"the proliferation of guns, many put in the poorly trained hands of parties with scores to settle, makes the situation extremely volatile.","the problem is, that i don't really have a life plan but i am the sort of person who likes to have things fairly planned out.",0
and they definitely shouldn't be forcing anyone to pay for someone else's contraception & abortions.,and there will not be any stain on that money abetting abortions.,0
the government didn't have any thing to do with it.,either government has to honor religioius doctrine or it doesn't - pick one.,0
"it has gone something like this: first, there was an effort to say that no warming existed at all.","it's one thing if you are just lazy and forget, but its another thing to lie about diaper changes all together.",0
honestly when you think about it it really does look just..,but only the shoreline around the terrace itself was really my idea of skate-friendly.,0
and where he sticks his wand can be a matter of national importance.,and there will not be any stain on that money abetting abortions.,0
A brown dog wades in the water.,A dog splashes in the murky water.,3
One man in an orange shirt wearing a white helmet is riding a bike.,The man wearing a blue helmet is riding a Polaris.,2
A hockey player looks intently downward.,A hockey player during a game.,1
A tan girl in a floral bikini is swimming in dark blue waters.,a little girl in a flowered bathingsuit runs through the sand at the beach,2
A person on a snowmobile.,A person on a snowmobile in mid jump.,3
A tan and white dog walks in the sand on a nice day.,A black and white dog jumps in the air near a red Frisbee.,0
A surfer is riding on a breaking wave.,A surfer is riding a large wave.,4
Two brown dogs chase each other in the snow.,Two brown dogs are playing with each other in the snow.,4
the jury verdict must stand.,the airport seems safe.,0
"she also was very respectful in her final days of dissent in the previous coallition, and didn't even call for him to resign.","mr. abhisit, who took power in december after a court disbanded three parties in the previous coalition government, has promised to hold elections, once political reforms are concluded.",0
the father is not a public figure and is a private citizen.,"he is the least pc of them all, thus far, and in my opinion.",0
"yes, price is affected by increased costs, indirectly.",president obama has already in*creased this spending by 20 percent.,0
"our daughter had, what we were told were, night terrors.",Our son started doing something similar but not quite as bad.,0
"Most of the literature I can find about infant sleeping has to do primarily with waking habits, not eating habits.","In my experience, babies tend to wake up by themselves when they get hungry.",1
"Given the opportunity, children will play computer games all day, and ignore everything else going on around them.",The main feedback I can provide here is to model the behavior you want to see in your child.,0
Being excluded from normal classes to get remedial work is definitely not good for your self-esteem.,I think that it is greatly dependent on the culture of the school and they way it is done.,0
N Korea postpones family reunions with South,North Korea Postpones Family Reunions with South,5
Protesters clash with police in Caracas,Protesters Clash with Police in Brazil,3
"U.S. closes embassy in Libya, evacuates staffers",US Evacuates Embassy in Libya Amid Unrest,3
Novice 'steered South Korea ferry',South Korea ferry captain arrested,1
A group of four children dancing in a backyard.,A group of children do stretches on colored mats.,0
A dog with a stick follows another dog through the water.,A four wheel drive car is driving through the mud.,0
a group of teenagers are jumping in the air on the beach.,A group of young people jump up in the air while on the beach.,4
Two black dogs are playing on the grass.,Two black dogs are playing in a grassy plain.,4
"51 killed, 191 wounded in violent attacks in Iraq","35 killed, 138 wounded in wave of attacks in Iraq",1
Court overturns murder conviction of former FBI agent linked to mobster,Florida appeals court overturns murder conviction of former FBI agent,3
Eight Killed in Iraq Violence,6 killed in Iraq's violence,1
Russian coal mines seek new outlets in China,Russian foreign minister to meet UN chief,0
"To be honest, this just sounds like normal puppy behavior.","I am not an expert, just happen to have lived the same thing a couple of months ago.",0
"Okay, so you've got a dog running around without a leash and one that won't let you catch him?","I had a dog with Cushing's Disease, and he gobbled food.",1
"My experience with Danios has that they always have been ""bossy"" fish.","Breed Zebra Danios are extremely hardy fish, they are almost difficult to kill.",1
My answer's going to be the same as one I've previously given.,"If you're looking for a pet, I would probably suggest guinea fowl.",0
"So, in general I would avoid bathing a cat unless there's a real strong need to do so.",Don't use regular shampoo -- cats have very sensitive skin and regular shampoo will dry it out and irritate it.,1
I have had really good results using carPET Scratch Stoppers in doorways and under doors.,Cover the entrance to the doorway with a old carpet and use a staple guns to secure it.,1
Another issue you might want to consider is that as cats get older their colon response gets weaker.,In general I'd say one should feed cats wet food instead of dry.,0
I have seen cats not like using the litterbox for a variety of reasons.,"I think Keltari has some good ideas.... A cat can change its ""taste"" in litter material.",1
Several people are sitting around a fire at night.,A group of people are standing and sitting around on the ground at night.,2
Two white dogs running in the grass together.,Two dogs run and play with a brown stick.,1
Two black dogs playing in the grass.,Two dogs play in the grass.,4
A woman wearing a pink Tinker Bell jacket leans against a railing.,A woman wearing a pink Tinkerbell sweatshirt leans on a railing overlooking water.,4
I have noticed most cats don't lick people a great deal.,Cats may or may not lick a person based on all kinds of things.,2
"I always leave Bear (7 months old, now)  with a Kong when I leave for the day.","I had a dog with Cushing's Disease, and he gobbled food.",0
Cats (and all animals in general) do not understand the concepts of order or tidiness.,They don't intend to leave those items around the house or untidy the house.,0
"It does sound like your cat is upset about something, and trying to communicate it to you.",Something is bothering your cat and he does not like it.,3
How could be you so sure that the fish died a natural death.,"In my 200 L fresh water tank, which is an aggressive tank, fish occasionally get harassed to death.",1
You could increase the fiber in the diet just like a human would with this issue.,I do not believe there is a specific diet which will ensure that no feces remains on a dog's backside.,1
I have a Siberian Husky that is not much older than your dog.,I would definitely ask his vet how much he thinks is too much for the dog's age and physical state.,0
For performance dogs we like to wait until 18 months on average.,There's an answer to this on Cesar Millan's website from a vet.,0
UN voices alarm over Israeli strikes on Syria,Israeli official confirms second air strike at Syria,1
China eases one-child policy,China formalizes easing of one-child policy,4
Pressure rises on White House over Benghazi,Pressure rises on White House over Benghazi talking points,5
"One killed, 40 injured in Mexico candy factory blast","Three killed, 21 injured in two road mishaps",0
"Afghan official says some 2,000 people missing after landslide buries a northeast village","Afghan Official Says 2,000 Missing After Landslide",4
US: Assad used chemical weapons on Syria rebels,Assad agrees to hand over chemical weapons,1
Israel cabinet approves Palestinian prisoner release,Israel approves release of 104 Palestinian prisoners,3
Snowden Offered Asylum In Three Countries,Snowden's latest offer of asylum comes from Bolivia,2
it's real interesting how everything just unfolded like it did.,that's an interesting side issue that may be addressed.,0
starbucks owns the mortgage on your house.,the words that made sense to you.,0
move to where the food is..,i still hurt the poor guy.,0
you know how i would feel supported if i was a troop overseas?,i could definitely support that as a non proliferation treaty.,0
A white dog with red ears is running in the snow.,a wet black dog with a red collar is in the river,0
Two girls on the shore watch people in a boat fish.,"Two males, one in red and one in white playing a basketball game.",0
a snowboarder jumps into the air.,A snowboarder flies through the air.,3
A little girl and a little boy hold hands on a shiny slide.,A little girl in a paisley dress runs across a sandy playground.,0
"the point is, my dad will write all the letters and i will sign them, is that ok?",i then took a picture of him eating it and emailed it round and said he has stole it as a joke.,0
there has never been a monopoly in this country that wasn't government enforced.,the nba is a classic example of a government enforced monopoly.,0
"i don't know if this goes for people generally, but that was how g went.","i know that bothers you socialists/progressives, but that's the way it is.",0
i was raised with my male cousin by grandma.,i'm having trouble with you analogy.,0
SA duo killed in terror attack,Scores killed in Iraq attacks,0
Suicide bomber kills 23 Iraqi army recruits,Suicide bomber kills 13 Iraqi army recruits in Baghdad,1
Muslim Brotherhood supporter killed in clash in Egypt: security sources,"Muslim Brotherhood supporters, opponents clash nationwide",1
"Syrian forces hit mosque with barrel bomb, kill 5",Hunting for clues in Boston bombing,0
A man in a blue cap is sitting on a stool under a tree.,A dog standing on a beach with a ball nearby.,0
Two puppies playing with a plastic bag.,Two dogs playing in a yard.,0
An owl has its wings up and widespread during the day.,The bird has its wings spread as it flies.,0
A girl in a tie dye hat has a butterfly on her hand.,A girl in a colorful hat has a strange creature resting on her hand.,0
7 killed by Shiite al-Houthi fighters in northern Yemen,At least 5 killed in sectarian conflict in north Yemen,2
"38 killed in rains, flash floods in Pakistan",Three killed in Brazil stadium collapse,0
Lebanon pins hope in Geneva II conference on Syria,Lebanon hopes Geneva II conference initiate political solution on Syria,4
"Nadal, Djokovic to meet in French Open semifinals","Djokovic, Nadal to vie for French Open semi berth",2
"the international development secretary, hilary benn, the former health secretary alan milburn, and the leader of the commons, jack straw, are all at 25/1.","the foreign secretary, margaret beckett, is at 40/1, while the defence secretary, des browne, and the welsh and northern ireland secretary, peter hain are 50/1.",1
some refused to go because they didn't want to be killed.,the rioters are pretty focused on the police and the president.,0
"new zealand beer is also acceptable, as new zealand is pound for pound the greatest sporting nation on earth and it can only be due to the beer.","we know the date this happened, because we know when mom and sister came home from the hospital, so i was two years and two months old at the time.",0
"i agree with you about 'shouting about being different', what do you count as proclaiming difference?","i agree with you, quantum windbag, and so do most legal commentators i have read.",0
California Wildfire Forces Evacuation Of Homes,California wildfires strengthened by winds as hundreds are evacuated,2
Kerry call on Congress to end shutdown,Brazil's Congress approves internet legislation,0
China stocks close lower on Wednesday,China treasury bond futures close mixed Wednesday,1
German police foil neo-Nazi model airplane bomb plan,German police foil far-right 'model plane bomb plot',3
We always put it crushed up in a bit of butter or on a sardine.,"We had a cat that required daily medication, and it was a struggle to give the cat a pill.",0
"Since the risks and pitfalls of wire floors are largely mentioned, I'll mention pros...","Regardless of floor choice, remember that they need a burrow-like ""safe"" area to cope with stress.",0
"Odds are, the cat's as wary of you as you are of her.","Some cats (actually many, in my experience) find it difficult to sit or stand still when they are being petted.",0
An experiment with chicken: Two cages of chickens had a similar food automatic device.,I think Esa answered the question well and thus have awarded him the answer.,0
"The Note's Must-Reads for Monday, December 2, 2013","The Note's Must-Reads for Tuesday, October 8, 2013",1
Super typhoon hits Philippines,Most powerful typhoon of 2013 hits the Philippines,3
Berlusconi said to pay off 'bunga bunga' witnesses,Berlusconi accused of bribing witnesses in prostitution trial,3
US condemns Lebanon blasts,US condemns Afghan prisoner release,0
"don't you follow, and want our laws to follow all of leviticus?","she's on line here but hasn't answered as to whether or not she follows all of leviticus, and whether or not she want's our nation's laws to follow all of leviticus.",1
so i have been looking around for somewhere else.,(i have been in full time employment for 25 years).,0
"in fact, watching fox will tell you the exact opposite of what you are claiming.",try dealing with the facts instead of your wishful thinking.,0
it is looking bad for ray right now.,meets dr. king; asks him for a job.,0
A woman pointing at a geyser.,Women pointing at a geyser.,2
Three dogs are playing in the white snow.,Three dogs play with a Frisbee in a snowy field.,3
Dog is jumping down a ramp.,A girls is jumping in the sand.,0
The dog plays in the park.,The dog leaps over the fence in the park.,2
"Breed Zebra Danios are extremely hardy fish, they are almost difficult to kill.",Supposedly Danios need to school which mean you need at least 5-8 Danios in your tank.,1
Cats are descended from desert dwelling animals and have their kidneys concentrate the urine very strongly to recover water.,"This table from Cornell University lists the specific gravity of urine for dogs, cats, and large animals.",1
"Diatomaceous Earth claims say that it works on fleas/mites by microscopically abrading (cutting) their exoskeleton, essentially drying them out.","So called ""natural"" remedies are not necessarily: more effective; or with less side effects.",0
The two primary consideration here are the dogs safety and the ease (or budget) of improvement.,"Personally, I'd be wary of leaving a dog outside alone without a physical fenced boundary.",1
"Nearly 1,900 killed in Syria during peace talks","1,900 killed in Syria while Geneva talks remain deadlocked",3
East Ukraine Separatists Ask to Join Russia,Crimean Parliament Votes to Join Russia,1
Canada train plot suspects reject charges,"Canadians released in Egypt, not yet heading home",0
Arrest over French soldier's stabbing,France arrests man in soldier's stabbing,3
"i was in and out of the wards, civilian and va 2 or 3 times a year from 96 to 2000.",william hill have cut the odds on the prime minister leaving this year from 5/1 to 9/4.,0
we didn't really get anywhere so he dropped me home and told me to go and that it would be a 50 50 decision to split.,"now - they are dangerous - cos they would move to another bottle, and it would all begin again.",0
false it is down 11%.,i would also not back down.,0
she is so sensitive that even if i don;t eat dinner she gets in a mood and takes it personally!,there's two entities that have zero interest in keeping obama in the white house.,0
"so, it's something else, isn't it?","so, i guess that's it.",0
"who in the media's been going ""half-cocked"" and how did they do it?",what in god's name is going on with the federal government?,0
republican senator charles percy's secretary took an interest in me.,"@dlowan, ""for centuries the chinese used an ancient curse: 'may you live in interesting times!'",0
survival of the fittest.,i'll toss this into the pot.,0
Aristotle didn't put the world at the center of the universe per se.,Why did Aristotle place the earth at the centre of an infinite universe?,2
I don't think that positivism is a position of mostly leftist philosophers.,I am not convinced that positivism is routinely asociated to a leftist ideology.,2
Clean the urinated zone with vinegar (I used to do that when my feline daughter was a baby kitten).,Others have made some good suggestions about how to neutralize the odors in the area.,1
I have one Maine Coon but she does not do this behavior.,"Since we can't know what moves inside a cat's head, it will all be a theory only.",1
"all politics aside, it was the most important issue on the ballot as far as i was concerned.","have a quiet registry marriage with just the important people there, followed by a party for everyone done cheaply.",0
"you can claim it's false all you want, but facts are facts.",you spew here what you claim to be facts.,1
you think this whole thread is conspiracy theory bs?,why do you think that commandment is there?,0
A dog runs through the water while holding a stick in its mouth.,A dog running along a fence on a dirt track.,1
A black dog walking through splashing water in a rocky creek.,A black dog splashes through greenish water.,2
A black dog is running along the beach.,A dog is running on the beach.,4
Two girls taking a picture of themselves,Two blonde girls are taking a picture of themselves.,4
Syrian war seen dragging on for years,Syria regime releases hundreds of prisoners,0
Egypt's opposition criticizes president's speech,Pakistan's opposition party boycotts presidential elections,0
Japan PM Abe escapes injury in five-car collision,Japanese PM escapes injury in 5-car collision,3
Russia says ballistic missiles fired in Mediterranean,Israel says it carried out joint missile test with US in Mediterranean,0
D.C. Votes to Decriminalize Marijuana,DC votes to decriminalize pot,5
Obama says Korean War veterans ‚Äėdeserved better‚Äô,Obama: Korean War vets ‚Äėdeserve better‚Äô,5
Silvio Berlusconi's tax fraud conviction upheld,Berlusconi lashes out at tax fraud conviction,2
Many dead as asylum boat sinks off Australia,Mandela spends third day in hospital,0
A man is wind sailing in the ocean.,A dog is running through the ocean.,0
A man is skating down a set of stairs.,The man is skiing down a snowy hill.,0
Three dogs racing on a dirt track,Cars racing on a dirt track,0
Children play fight with swords.,A child and parent pet a horse.,0
remember that corporate oil deal where the chinese wanted to buy out unocal?,the appellate court ordered the case back to juvenile court.,0
could it be that the ocean is cooling?,"according to it, yes, they can do it.",0
(1) was to remove the actual tumor.,it seems to me that dr.,0
i mean not even everyone in hk is a british national - only a proportion of the population are.,but between welfare and living ok is quite a bit of a chasm for a lot of people.,0
6 policemen killed in gunmen attack in northern Iraq,3 Egyptian policemen killed by gunmen in Cairo attack,0
Margaret Thatcher dies after stroke,Margaret Thatcher dies at 87,3
North Korea's Kim hails execution of powerful uncle,North Korean intrigue: The execution of power,1
Russia offers assurances on Syrian chemical weapons removal,Russia says Syria to remove chemical weapons this month,3
Nine killed more than 40 injured in multiple bus crash in Germany,Several killed and scores injured in Germany bus crash,3
"World powers, Iran under Rouhani revive nuclear talks",World powers seek rare progress in Iran nuclear talks,3
2 killed as more storms batter Britain,Two killed as fierce overnight storms batter Britain,4
Tymoshenko urges EU to take strong action on Crimea,Ukraine crisis: This is the de-facto annexation of Crimea,1
A group of dogs run through the snowy field.,A dog runs through a snowy field.,2
Two women walking down the street,A man walking two dogs down a street.,0
Two blond women sit in grass with a small dog.,Two blonde young women hang out in the grass with a brown dog.,3
A man and a small girl floating on an innertube.,A young girl wearing a bikini in an inner tube.,2
"In the above process, nowhere the eyes are actually reading Chinese, but converting it to signals.",The Turing test enables the examiners to see if the judges are unable to distinguish the people from the robots.,0
I think this would be an example of a fallacy known as a Red Herring.,"I don't think it's either an appeal to logos or pathos, but rather an appeal to ethos.",0
I think that the only difference between the two is the semantic objective of the definition.,(philosophy)The system of thought holding that all phenomena can be explained in terms of natural causes and laws.,0
"It's true that, under one understanding of ""accessibility"" and ""determining"", your accessibility relation is determined by your axioms.",Accessibility is determined by the axioms of the modal logic you're working within.,3
do we want iran to become the next north korea?,all of that proves that zimmerman told the police the truth.,0
this development is interesting because it raises a lot of fascinating questions about economic management.,"and i don't even engage in the practice of being ""vague"" about the description of my inventory.",0
how will conservatives respond to the issues?,but conserv won't address these issues.,1
"exactly how awesome are you, anyway?",just what are you reading?,0
don't hate your fellow americans.,don't be jealous and bitter.,0
it could of been better but i admit i was lazy and didn't really work at it.,i cried a lot and could not really understand it.,0
"so i think it's just best to pardon dick and hope that he'll leave me alone.""","in the meantime, i'll just keep you in my heart and mind and hope that will help in some small measure.",0
the only mistake the republicans made was in voting to raise the debt ceiling in exchange for anything short of repealing obamacare and passing the ryan budget that actually would have cut 4 trillion out of the budget.,"(bull shit call number 2. he and the demwhits negotiated a deal to increase the debt ceiling and before the ink on it had dried, reneged on the deal and attempted to tie it to his ""stimulus ii"" wish list which would add another 1.6 trillion dollars to the deficit now!)",1
Bangladesh building collapse death toll passes 600: army,"Bangladesh building collapse death toll tops 1,000",3
Boston bombing suspect to appear in court,Boston bombing suspect buried,1
Two French journalists killed after Mali kidnapping,"Two French journalists abducted, killed in Northern Mali",4
Headlines in major Iranian newspapers on Dec 14,Headlines in major Iranian newspapers on July 29,1
Sports team poses on field with crowd in the background.,A sports team poses on the field.,3
These children are playing on a trampoline outdoors.,four children are playing on a trampoline.,3
A brown dog carrying a stick in its mouth.,A dog swimming with a stick in its mouth.,1
A skier is jumping in the air over a snowfield near a mountain range.,A woman is sitting near a flower bed overlooking a tunnel.,0
At least 20 dead in Somalia attacks,At least 8 injured in large Boston blaze,0
President Obama reveals plans to withdraw troops from Afghanistan by 2016,US Government Shutdown: Obama tells Republicans to lift threat to US economy if they want talks,0
Obama announces creation of twin manufacturing hubs,US stocks retreat on manufacturing data,0
Five charged with terrorism offences,Five People Charged With Terror Offences,4
Israel responds coolly to outcome of Iranian presidential election,Inside Iran's Presidential Election and Beyond,1
Air strikes kill 20 civilians in Syria's Damascus,Air strike kills eight civilians in Syria's Homs,1
Extremists claim responsibility for Niger attacks,Greek militant group claims responsibility for Golden Dawn killings,0
Death toll rises to 29 in India's Mumbai building collapse,Death toll rises to 12 in Indonesia mine collapse,0
Flight of Boston Marathon bombing suspects ended in mayhem,Raid on Boston Marathon bombing suspect captured on film,1
Glasgow Helicopter Crash Search Ends,Glasgow Helicopter Crash: Woman PC Is Victim,1
Taiwan stocks close 1.11 pct lower,Taiwan stocks end 0.68 pct lower,1
Iran backs proposal for meeting on Syria conflict,Iran says Israel lying about rockets,0
"As I understand it, nothing that can be changed, or broken down into smaller parts is inherently real.",Our interactions are merely depends on where we put our perception.,0
This is much more a biology/evolution question than a philosophy question.,The answer is for at least this domain of problem is that prices are quantised and not continuous.,0
"People almost always have ""rational explanations"" for the things they do.",I don't think we can say anything about this case.,0
"They who can give up essential liberty to obtain a little temporary safety, deserve neither liberty nor safety.",Two components of just war theory come in to play when considering restrictions on liberty.,1
Monty Python to reunite for new show,Monty Python to reunite on stage,3
Prince George is christened at St James's Palace,Prince George christened in London,3
CIA chief visits Israel for Syria talks,CIA chief in Israel to discuss situation in Syria,5
Death toll in India building collapse hits 42,Death toll in Goa building collapse rises to 17,1
you may also lose your single person council tax status.,my body was looser after i gave birth but it wasn't bad.,0
nukes in the hand of the shiite sect are quite dangerous as all shittes are anti-west and anti-israel.,in fact i bet upon the news alone that he loses the election we will start seeing firms hire and invest exponentially.,0
how do these trotskyists think we generated our wealth in the first place?,what symptoms did you have that got you to the doctor in the first place?,0
did i say i excused it?,"where does it say that, exactly?",0
"that was also about a blow job, of course.",he was caught lying to congress.,0
and besides they do update their platform.,i will do so with my daughter this year...,0
"and all to few understand, therefore nothing will be done to avoid the slide.",and tell them if they cannot wait how to protect themselves.,0
do not pay attention to the evidence!,so you may want to consider my advice.,0
Two people wearing black are standing in front of a lit up statue.,Two people stand looking at a light scupture at night.,4
Two dogs are playing in the snow.,Two dogs are playing in a pool.,2
A skateboarder jumps off the stairs.,A dog jumps off the stairs.,0
A group of people stands in front of a yellow building.,A young girl standing in front of a fountain,0
The brown dog is running along a grassy pathway.,A brown dog is running along a grassy stretch divided by strings.,2
The girl is wearing a blue striped shirt and Rollerblades.,a man wearing a black and white shirt jumping on a dogs back,0
A skier wearing blue snow pants is flying through the air near a jump.,A skier stands on his hands in the snow in front of a movie camera.,1
A black and white dog is running on the beach.,The black and white dog is running in the damp sand.,3
Major fire breaks out in JK secretariat in Srinagar,Fire breaks out near secretariat in Srinagar,3
Hong Kong set for huge democracy rally on handover anniversary,Hong Kong set for huge democracy rally,3
Israeli general says Syria government forces used chemical weapons,Israel Accuses Syria of Using Chemical Weapons,3
Suicide bomber kills 20 in Iraq,"Suicide bomber attacks primary school in Iraq, kills 15",2
"It is important to remember that RGB is an additive process, and CYMK is a subtractive process.","I'm not quite sure what you're asking, but I'll try and cover all the bases.",0
There's no simple rule of thumb due to the inhearent nonlinearity in the equations.,"Depth of field formulas are indeed complex and nonlinear, but they still afford useful rules of thumb.",1
"Although you could fix this problem in lightroom with reasonable results, you can fix it when taking the picture.","The old way of solving this problem, I mean before digital post-processing, was to apply foundation cosmetics on the model face.",0
A more expensive option is a remote trigger like the wireless pocket wizards and the cable for your camera.,I am very happy with the Phottix Plato it is a wireless solution that is cost effective.,0
three of the seals being rescued were also killed and the fourth wounded.,even our r&d is being jobbed-out to faraway india and other parts of the world.,0
i really dont know what to do...,i don't really know what is up but i'm super mad about it.,2
it gives me just as good a reason never to use ebay.,just how good a basis is revenge for sentencing?,0
A curly coated dog looking at another dog in the water.,A wooly dog on a beach looks toward another dog in the water.,3
"A boy playing hockey lies on the ice, injured.","Two soccer teams are playing, one is in white the other in red.",0
Two gray dogs run through a field of pink heather.,Two dogs bound over a flower-covered hill.,3
"A group of adults sit in wood lawn chairs talking, surrounded by wilderness.",Group of people sitting in lounge chairs on patio looking at mountains.,3
The dogs play in the snow on hind legs.,Two dogs play in the snow.,3
Two dogs running through tall grass.,Three dogs running through the snow.,2
A surfer on a wave.,A surfer is riding a wave.,4
a black dog runs across the snow.,A black dog is running across a field.,2
territorial disputes have been a major irritant in bilateral relations between the two nations and led to brief but bitter war in 1962.,there would have been millions less dead if we had done so and the government would be but little different than it is now.,0
"'cause it seems that because they create ""all these jobs"", they are somehow entitled to a free pass.",and in fact the research that backs up this health care bill out of the house spells it out clearly.,0
this is why the right is destined to lose its ass.,that is why i have said revere puts himself into a pretzel shape.,0
render unto ceasar what is ceasar's.,i tried to call and there was no answer.,0
"i got the sas bravo, and it's totally comfortable right from the git-go.","in those states, minority, student and poor voters are most likely to feel the pinch from the new rules.",0
the entitlement gravy train is off the tracks and out of gravy.,the opening statement you quoted is a fact i'm afraid.,0
lol that must really piss off the repubs who kept harping on how the unions destroyed the auto industry.,ok that explains one more trillion of bush's addition to the national debt.,0
the twenty-seven-year-old man died of four gunshot wounds.,three of the seals being rescued were also killed and the fourth wounded.,0
and the points of light foundation continues to help the nation find opportunities for people to serve one another.,the point is that women/girls are constrained to carry it and bear its burden in more than one way.,0
it's not your money anymore when you die.,there's only one early memory i can absolutely date.,0
"when i have more time (tomorrow), i will provide the sources for all of this information.","whatever the amount was, i hope he sold his soul and his ethics for a high amount.",0
we saved close to $300 a month.,they paid him over $30 million.,0
"this september i left home, and started at university.",they had to be air lifted in somewhere around the first of june.,0
the vote for gay marriage is about to happen in maine.,"people still care about what happened, i do.",0
"sorry to rant about gypsies so much, but there is so few that listen, i take my chances whenever i can.","i am sorry for this news to you but this has been the case since...well,",0
"i still like you, but i am beginning to wonder why.",we still have not got a decision from them.,0
two dogs are running towards each other across the sand.,Two dogs are running towards each other on a beach.,3
A boy skateboards down the railing of some graffiti stairs,A skateboarder slides down a handrail on his feet.,2
A dog swimming in a lake has sunshine shining on him.,A dog swims while carrying a stick in its mouth.,1
A mountain climber follows the edge of the mountain.,A skier about to go down the mountain.,0
Heartbreaking transcript reveals indecision as South Korea ferry sank,South Korea ferry: Transcript reveals evacuation panic,3
Death toll in India temple stampede rises to 109,Death toll in Madhya Pradesh temple stampede climbs to 115,2
Man sets himself on fire at Washington's National Mall,"Man Sets Himself on Fire on National Mall, Flown to Hospital",3
Two killed in Karachi blast,4 killed in Pakistan blasts,1
"for example, it's okay for you to impose your value, because you are special?","you're better off without him in your life, and you'll have a life.",0
care i think sinatra unsubscribed from his own thread.,i have seen the streams run as black slurries from strip mining.,0
i don't spend my days surfing for news bytes to find something to bitch about.,i don't mean for president; i mean out of the country.,0
but man are a lot of middle class and even poor americans brainwashed.,there's also a side issue of amicus waivers.,0
"have any of you used a va loan to buy a house, then received a lot of streamline refinancing letters saying you'll save a bunch by refinancing?","if you have used the va loan, and then refinanced using the streamline program, i'd be thrilled to hear about it!",1
"not much) but a lot of debts, so i don't think there will be a probate.","at one point he was at a desk on his own, but now he sits beside my daughter.",0
and this was of particular interest.,those who lead us along this path to bankruptcy are not heroes.,0
what annoyed me the most about these campaigners was the extremely aggressive approach they were taking.,"he does not have the balls to put his own numbers on the table, and suggest how they pay for it.",0
